Device ID,Timestamp,Pressure,Latitude,Longitude
aa74c6bee7937088,2017-04-08 02:15:00,57.28,48.72288445,44.53585982
aa74c6bee7937088,2017-04-08 02:15:01,59.88,48.7229623,44.53561305
aa74c6bee7937088,2017-04-08 02:15:02,54.85,48.72311801,44.53557014
aa74c6bee7937088,2017-04-08 02:15:03,55.89,48.72328788,44.5357418
aa74c6bee7937088,2017-04-08 02:15:04,58.17,48.72354268,44.535892
aa74c6bee7937088,2017-04-08 02:15:05,58,48.72379748,44.53599929
aa74c6bee7937088,2017-04-08 02:15:06,56.26,48.7241089,44.5362997
aa74c6bee7937088,2017-04-08 02:15:07,52.39,48.72449109,44.53660011
aa74c6bee7937088,2017-04-08 02:15:08,54.41,48.72483081,44.53690052
aa74c6bee7937088,2017-04-08 02:15:09,55.59,48.72504314,44.53705072
aa74c6bee7937088,2017-04-08 02:15:10,52.56,48.72526962,44.53732967
aa74c6bee7937088,2017-04-08 02:15:11,53.49,48.72566596,44.5375657
aa74c6bee7937088,2017-04-08 02:15:12,52.9,48.72589243,44.53771591
aa74c6bee7937088,2017-04-08 02:15:13,52.13,48.72607645,44.53780174
aa74c6bee7937088,2017-04-08 02:15:14,53.4,48.72633123,44.53795194
aa74c6bee7937088,2017-04-08 02:15:15,52.87,48.72645862,44.53810214
aa74c6bee7937088,2017-04-08 02:15:16,55.66,48.7265294,44.53835964
aa74c6bee7937088,2017-04-08 02:15:17,54.18,48.72654355,44.53870296
aa74c6bee7937088,2017-04-08 02:15:18,54.2,48.72662848,44.53902482
aa74c6bee7937088,2017-04-08 02:15:19,57.77,48.72660017,44.53936815
aa74c6bee7937088,2017-04-08 02:15:20,53.91,48.72650109,44.53969001
aa74c6bee7937088,2017-04-08 02:15:21,53.68,48.72643031,44.53986167
aa74c6bee7937088,2017-04-08 02:15:22,53.21,48.72631708,44.54005479
aa74c6bee7937088,2017-04-08 02:15:23,53.31,48.7262463,44.54044103
aa74c6bee7937088,2017-04-08 02:15:24,55.19,48.72620384,44.54071998
